CONTAINER_TYPE,Places/Box,Boxes/Rack,Racks/Pie,Pies/Freezer,CT_Ratio
10 mL cryovial,36,7,9,6,4.178571429
10 mL Nalgene jar,20,13,9,6,4.05
10 mL Teflon tube,16,6,9,6,10.96875
1000 mL Teflon jar,5,1,15,6,126.36
15 mL Nalgene jar,11,11,9,6,8.702479339
15 mL Teflon jar,11,11,9,6,8.702479339
180 mL Teflon jar,6,1,55,6,28.71818182
2 mL cryovial,81,13,9,6,1
2 mL cryovial RNA later,81,13,9,6,1
2 mL cryovial VTM,81,13,9,6,1
2.5 mL blood tube,49,5,9,6,4.297959184
2.5 mL Pax Gene,49,5,9,6,4.297959184
2.5 mL Pax Gene tube,49,5,9,6,4.297959184
22 mL Teflon jar,11,7,9,6,13.67532468
350 mL Teflon jar,12,1,15,6,52.65
4 mL cryovial,81,13,9,6,1
5 mL cryovial,81,13,9,6,1
5 mL Teflon jar,20,11,9,6,4.786363636
50 mL centrifuge tube,16,5,9,6,13.1625
60 mL Teflon jar,13,1,55,6,13.25454545
7 mL Teflon jar,20,10,9,6,5.265
7 mL Teflon Jar,20,10,9,6,5.265
7 mL teflon jar,20,10,9,6,5.265
7.5 mL EDTA tube,49,6,9,6,3.581632653
7mL Teflon jar,20,10,9,6,5.265
90 mL Teflon jar (box),4,8,9,6,32.90625
90 mL Teflon jar (tube),11,1,55,6,15.66446281
All Protect,81,13,9,6,1
PaxGene,49,5,9,6,4.297959184
RNA later,81,13,9,6,1
Teflon bag,5,1,15,6,126.36
whirl-pack,5,1,15,6,126.36
Ziplock bag,5,1,15,6,126.36
